id,statusName,timestamp
10459,Waiting,2013-03-1612:03:17.000
10459,Paired,2013-03-1612:29:50.000
10459,Shopping,2013-03-1612:29:22.233
10459,CheckedOut,2013-03-1614:01:24.000
10461,Alterations,1988-01-0201:47:07.000
10461,CheckedOut,2013-03-1614:42:25.000
10461,Paired,2013-03-1612:29:31.000
10461,Shopping,2013-03-1612:29:01.437
10461,Waiting,2013-03-1611:52:18.000
10462,Waiting,2013-03-1612:19:35.000
10462,Shopping,2013-03-1612:59:01.197
10462,Paired,2013-03-1612:59:28.000
10462,CheckedOut,2013-03-1614:35:44.000
10463,CheckedOut,2013-03-1612:22:20.000
10463,Waiting,2013-03-1610:44:14.000
10463,Paired,2013-03-1611:00:37.000
10463,Shopping,2013-03-1611:00:23.063
10464,Waiting,2013-03-1610:44:03.000
10464,Paired,2013-03-1610:59:32.000
10464,Shopping,2013-03-1610:59:02.560
10464,Alterations,1988-01-0200:44:02.000
10464,CheckedOut,2013-03-1613:18:21.000
10465,CheckedOut,2013-03-1611:54:34.000
10465,Waiting,2013-03-1609:44:13.000
10465,Paired,2013-03-1610:08:05.000
10465,Shopping,2013-03-1610:10:58.323
10466,Waiting,2013-03-1612:13:51.000
10466,Shopping,2013-03-1612:46:56.207
10466,Paired,2013-03-1612:46:43.000
10467,Shopping,2013-03-1610:08:06.553
10467,Paired,2013-03-1610:04:49.000
10467,Waiting,2013-03-1609:41:03.000
